2026-05-01 05:37:39 AM | INFO | browser_manager | 🌐 Starting shared Playwright (Async) instance...
2026-05-01 05:37:39 AM | INFO | auto_pickup | 🚀 Auto Pickup Queue Worker စတင်နေပါပြီ...
2026-05-01 05:37:39 AM | INFO | main_bot | 🚚 Auto Pickup Queue Worker thread started.
2026-05-01 05:37:39 AM | INFO | main_bot | 🚀 CarryMan Bot (Worker 1: Ingestion) is starting...
2026-05-01 05:37:40 AM | INFO | browser_manager | ✅ Shared Playwright instance is ready.
2026-05-01 05:39:20 AM | INFO | main_router | Routing message from -1003650157592: Helo ဒီ​​နေ့wayရှိပါတယ်...
2026-05-01 05:39:22 AM | INFO | main_router | 🎯 AI Decision: auto_pickup
2026-05-01 05:39:22 AM | INFO | auto_pickup | 🚚 Auto Pickup module handling message: 121
2026-05-01 05:39:23 AM | INFO | db_manager | ✓ Message 121 in -1003650157592 saved as PENDING
2026-05-01 05:39:23 AM | INFO | message_handler | 📩 New Pending Message from 1653454117 in -1003650157592 (Topic: 1)
2026-05-01 05:39:41 AM | INFO | main_router | Routing message from -1003883905797: ကျေးဇူးပါ...
2026-05-01 05:39:42 AM | INFO | main_router | 🎯 AI Decision: none
2026-05-01 05:39:42 AM | INFO | db_manager | ✓ Message 639 in -1003883905797 saved as PENDING
2026-05-01 05:39:42 AM | INFO | message_handler | 📩 New Pending Message from 5794708221 in -1003883905797 (Topic: 4)
2026-05-01 05:39:46 AM | INFO | main_router | 🛡️ Staff Exclusion (Group): Skipping AI routing for staff 7261311241
2026-05-01 05:40:33 AM | INFO | main_router | Routing message from -1003806753663: Pick up shi pr tl...
2026-05-01 05:40:34 AM | INFO | main_router | 🎯 AI Decision: auto_pickup
2026-05-01 05:40:34 AM | INFO | auto_pickup | 🚚 Auto Pickup module handling message: 175
2026-05-01 05:40:35 AM | INFO | auto_pickup | ℹ️ Message 175 is not a pickup request (Action: OTHER). Skipping auto_pickup.
2026-05-01 05:41:16 AM | INFO | main_router | Routing message from -1003727765180: OS Name - Khine Trendy Shop
Date - 1/may//2026

စု...
2026-05-01 05:41:16 AM | INFO | main_router | 🎯 AI Decision: none
2026-05-01 05:41:17 AM | INFO | db_manager | ✓ Message 198 in -1003727765180 saved as PENDING
2026-05-01 05:41:17 AM | INFO | message_handler | 📩 New Pending Message from 6869170635 in -1003727765180 (Topic: 1)
2026-05-01 05:42:38 AM | INFO | auditor | 💓 Heartbeat sent to HealthCheck.
2026-05-01 05:43:18 AM | INFO | main_router | 🛡️ Staff Exclusion (Group): Skipping AI routing for staff 7261311241
2026-05-01 05:43:18 AM | INFO | db_manager | ✅ Group Resolved: [121] in -1003650157592 by (60501) (Reply)
2026-05-01 05:43:18 AM | INFO | auditor | ℹ️ No active alert tracking found for 121 in -1003650157592.
2026-05-01 05:43:18 AM | INFO | auditor | ℹ️ Message 121 was not an active alert. Skipping record.
2026-05-01 05:43:18 AM | INFO | message_handler | ✅ Message 121 marked as RESOLVED via Reply by (60501)
2026-05-01 05:43:35 AM | INFO | auditor | ℹ️ No active alert tracking found for 198 in -1003727765180.
2026-05-01 05:43:35 AM | INFO | auditor | ℹ️ Message 198 was not an active alert. Skipping record.
2026-05-01 05:43:35 AM | INFO | db_manager | ✅ Group Resolved: [198] in -1003727765180 by Yoon Waddy (Reaction (❤))
2026-05-01 05:43:35 AM | INFO | alert_handler | ✅ Message 198 marked as RESOLVED via Reaction (❤) by Yoon Waddy
2026-05-01 05:44:13 AM | INFO | main_router | 🛡️ Staff Exclusion (Group): Skipping AI routing for staff 7591872239
2026-05-01 05:44:16 AM | INFO | auditor | ℹ️ No active alert tracking found for 175 in -1003806753663.
2026-05-01 05:44:16 AM | INFO | auditor | ℹ️ Message 175 was not an active alert. Skipping record.
2026-05-01 05:44:16 AM | INFO | db_manager | ✅ Group Resolved: [175] in -1003806753663 by Yoon Waddy (Reaction (❤))
2026-05-01 05:44:16 AM | INFO | alert_handler | ✅ Message 175 marked as RESOLVED via Reaction (❤) by Yoon Waddy
2026-05-01 05:44:21 AM | INFO | main_router | 🛡️ Staff Exclusion (Group): Skipping AI routing for staff 7591872239
2026-05-01 05:44:37 AM | INFO | main_router | 🛡️ Staff Exclusion (Group): Skipping AI routing for staff 8688437892
2026-05-01 05:45:51 AM | INFO | main_router | Routing message from -1003361319863: cus 6ရက်နေ့ရက်ချိန်းလေးပါရှငိ့မမ 09670957996...
2026-05-01 05:45:52 AM | INFO | main_router | 🎯 AI Decision: auto_pickup
2026-05-01 05:45:52 AM | INFO | auto_pickup | 🚚 Auto Pickup module handling message: 160
2026-05-01 05:45:53 AM | INFO | auto_pickup | ℹ️ Message 160 is not a pickup request (Action: OTHER). Skipping auto_pickup.
2026-05-01 05:45:53 AM | INFO | db_manager | ✓ Message 160 in -1003361319863 saved as PENDING
2026-05-01 05:45:53 AM | INFO | message_handler | 📩 New Pending Message from 8781916512 in -1003361319863 (Topic: 49)
2026-05-01 05:46:35 AM | INFO | main_router | Routing message from -1003721882616: အကုန်ရှင်းပြီးသားပါတဲ့...
2026-05-01 05:46:36 AM | INFO | main_router | 🎯 AI Decision: none
2026-05-01 05:47:00 AM | INFO | auditor | ℹ️ No active alert tracking found for 639 in -1003883905797.
2026-05-01 05:47:00 AM | INFO | auditor | ℹ️ Message 639 was not an active alert. Skipping record.
